date,channel,campaign,spend,impressions,clicks,conversions,revenue_generated
2024-01-01,google_ads,Brand Awareness Q1,25000,500000,8500,120,180000
2024-01-01,facebook,Retargeting Jan,12000,350000,5200,85,102000
2024-01-01,linkedin,B2B Outreach Q1,18000,120000,2100,45,135000
2024-01-01,email,Newsletter Jan,2500,85000,4200,95,57000
2024-02-01,google_ads,Product Launch,32000,620000,9800,145,232000
2024-02-01,facebook,Lead Gen Feb,15000,420000,6100,92,110400
2024-02-01,linkedin,Decision Maker Q1,22000,145000,2600,55,165000
2024-02-01,email,Promo Feb,3000,92000,5100,110,66000
2024-03-01,google_ads,Q1 Close,28000,550000,8900,132,211200
2024-03-01,facebook,Lookalike Mar,13500,380000,5600,88,105600
2024-03-01,linkedin,Retargeting B2B,19500,130000,2300,48,144000
2024-03-01,email,Quarterly Review,2800,88000,4600,102,61200
2024-04-01,google_ads,Q2 Launch,35000,680000,10500,158,252800
2024-04-01,facebook,Spring Campaign,16500,450000,6800,105,126000
2024-04-01,linkedin,Enterprise Push,24000,160000,2900,62,186000
